PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Michigan,2017,40,X,1.05751,X,X,X,X,X,X,290,81,27423
States,Michigan,2017,41,X,1.18879,X,X,X,X,X,X,311,82,26161
States,Michigan,2017,42,X,1.34334,X,X,X,X,X,X,374,85,27841
States,Michigan,2017,43,X,1.37719,X,X,X,X,X,X,376,86,27302
States,Michigan,2017,44,X,1.24986,X,X,X,X,X,X,343,87,27443
States,Michigan,2017,45,X,1.5819,X,X,X,X,X,X,442,88,27941
States,Michigan,2017,46,X,1.50287,X,X,X,X,X,X,395,89,26283
States,Michigan,2017,47,X,1.86769,X,X,X,X,X,X,428,88,22916
States,Michigan,2017,48,X,1.57373,X,X,X,X,X,X,429,85,27260
States,Michigan,2017,49,X,1.87036,X,X,X,X,X,X,524,86,28016
States,Michigan,2017,50,X,2.2088,X,X,X,X,X,X,545,83,24674
States,Michigan,2017,51,X,2.75099,X,X,X,X,X,X,579,85,21047
States,Michigan,2017,52,X,3.50053,X,X,X,X,X,X,566,83,16169
States,Michigan,2018,1,X,2.95998,X,X,X,X,X,X,676,86,22838
States,Michigan,2018,2,X,4.01351,X,X,X,X,X,X,1105,86,27532
States,Michigan,2018,3,X,4.90567,X,X,X,X,X,X,1347,89,27458
States,Michigan,2018,4,X,5.23913,X,X,X,X,X,X,1515,89,28917
States,Michigan,2018,5,X,5.63008,X,X,X,X,X,X,1620,89,28774
States,Michigan,2018,6,X,5.20407,X,X,X,X,X,X,1386,88,26633
States,Michigan,2018,7,X,3.99642,X,X,X,X,X,X,1027,83,25698
States,Michigan,2018,8,X,3.41734,X,X,X,X,X,X,880,85,25751
States,Michigan,2018,9,X,3.03726,X,X,X,X,X,X,781,86,25714
States,Michigan,2018,10,X,2.30343,X,X,X,X,X,X,595,86,25831
States,Michigan,2018,11,X,1.73361,X,X,X,X,X,X,442,85,25496
States,Michigan,2018,12,X,2.1294,X,X,X,X,X,X,547,87,25688
States,Michigan,2018,13,X,2.28985,X,X,X,X,X,X,465,85,20307
States,Michigan,2018,14,X,1.81941,X,X,X,X,X,X,430,86,23634
States,Michigan,2018,15,X,1.6067,X,X,X,X,X,X,376,81,23402
